Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
APSRTC - 45901,NON AC Seater,21:00,04:20,07h 20m,555.0,9 Seats available,4.0,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad,APSRTC
APSRTC - 52858,NON AC Seater,16:00,21:10,05h 10m,307.0,34 Seats available,3.5,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh),APSRTC
APSRTC - 52229,NON AC Seater,16:30,21:30,05h 00m,365.0,37 Seats available,4.6,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh),APSRTC
APSRTC - 52219,NON AC Seater,17:00,22:00,05h 00m,307.0,35 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh),APSRTC
APSRTC - 52846,0,17:30,22:30,05h 00m,307.0,0,3.6,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh),APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh),APSRTC
APSRTC - 9603,NON AC Seater,16:00,20:25,04h 25m,202.0,42 Seats available,3.1,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh),APSRTC
APSRTC - 9046,NON AC Seater,17:00,21:25,04h 25m,202.0,39 Seats available,3.0,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh),APSRTC
APSRTC - 9020,NON AC Seater,17:30,21:55,04h 25m,202.0,37 Seats available,3.5,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh),APSRTC
APSRTC - 47211,0,18:30,22:55,04h 25m,202.0,0,3.8,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh),APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh),APSRTC
APSRTC - 9011,NON AC Seater,16:30,19:40,03h 10m,183.0,14 Seats available,4.4,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore,APSRTC
APSRTC - 9049,NON AC Seater,17:15,21:40,04h 25m,239.0,16 Seats available,4.4,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore,APSRTC
APSRTC - 9888,NON AC Seater,19:00,23:20,04h 20m,202.0,4 Seats available,3.2,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore,APSRTC
APSRTC - 9003,NON AC Seater,20:00,00:25,04h 25m,218.0,39 Seats available,4.2,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore,APSRTC
