Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:30,00:10,03h 40m,INR 400,50 Seats available,3.9,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor,ASTC
Yatra Travels,A/C Seater / Sleeper (2+1),21:00,01:15,04h 15m,495,19 Seats available,4.1,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor,ASTC
ANIRUDDHA TRAVELS,Non A/C Seater / Sleeper (2+1),18:15,04:00,09h 45m,INR 600,13 Seats available,"3.9
113",https://www.redbus.in/bus-tickets/tinsukia-to-tezpur,Tinsukia to Tezpur,ASTC
J.S. Travels,Non AC Seater (2+1),17:30,04:00,10h 30m,INR 550,17 Seats available,"2.5
4",https://www.redbus.in/bus-tickets/tinsukia-to-tezpur,Tinsukia to Tezpur,ASTC
KIRTI TRAVELS,NON A/C Seater/ Sleeper (2+1),17:30,05:00,11h 30m,INR 550,6 Seats available,2.6,https://www.redbus.in/bus-tickets/tinsukia-to-tezpur,Tinsukia to Tezpur,ASTC
Air Bus Travels,NON AC Seater / Sleeper 2+1,19:40,05:00,09h 20m,INR 600,33 Seats available,"3.4
46",https://www.redbus.in/bus-tickets/dibrugarh-to-biswanath-charali,Dibrugarh to Biswanath Charali,ASTC
Yatra Travels,NON AC Seater/ Sleeper (2+1),23:00,05:30,06h 30m,495,13 Seats available,"4.4
71",https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Gohpur to Guwahati,ASTC
Yatra Travels,NON AC Seater/ Sleeper (2+1),22:30,06:15,07h 45m,495,22 Seats available,"4.4
59",https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Gohpur to Guwahati,ASTC
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,INR 620,26 Seats available,"4.4
49",https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Gohpur to Guwahati,ASTC
Yatra Travels,NON A/C Seater/ Sleeper (2+1),22:50,06:30,07h 40m,495,24 Seats available,"4.8
12",https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Gohpur to Guwahati,ASTC
,,,,,,,,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Gohpur to Guwahati,ASTC
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:30,04:20,07h 50m,540,20 Seats available,"4.3
68",https://www.redbus.in/bus-tickets/guwahati-to-bihpuria,Guwahati to Bihpuria,ASTC
Deep Travels,NON AC Seater / Sleeper 2+1,21:00,05:30,08h 30m,INR 509,11 Seats available,"3.6
76",https://www.redbus.in/bus-tickets/guwahati-to-bihpuria,Guwahati to Bihpuria,ASTC
Laxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:05,03:45,08h 40m,550,30 Seats available,"4.4
17",https://www.redbus.in/bus-tickets/guwahati-to-bihpuria,Guwahati to Bihpuria,ASTC
Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),21:30,06:15,08h 45m,INR 695.2,18 Seats available,"3.7
12",https://www.redbus.in/bus-tickets/guwahati-to-bihpuria,Guwahati to Bihpuria,ASTC
Yatra Travels,A/C Seater / Sleeper (2+1),20:00,05:10,09h 10m,594,24 Seats available,"3.3
13",https://www.redbus.in/bus-tickets/guwahati-to-bihpuria,Guwahati to Bihpuria,ASTC
ANIRUDDHA TRAVELS,NON A/C Seater / Sleeper (2+2),23:15,04:00,04h 45m,INR 600,17 Seats available,3.3,https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Bokakhat to Dibrugarh,ASTC
Baikuntha Transport Service,Bharat Benz A/C Seater /Sleeper (2+1),19:30,01:00,05h 30m,500,32 Seats available,"3.7
8",https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat,ASTC
Purple Wings Coaches,A/C Seater / Sleeper (2+1),20:05,01:20,05h 15m,585,24 Seats available,"4.0
4",https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat,ASTC
Shree Ram Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:45,01:40,04h 55m,567,23 Seats available,4.8,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Dibrugarh to Bokakhat,ASTC
