Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),20:00,03:25,07h 25m,INR 599,40 Seats available,4.0,https://www.redbus.in/bus-tickets/pindwara-to-nokha,Pindwara to Nokha,GSRTC
Royal Karnavati (TNB Travels),A/C Seater / Sleeper (2+1),23:15,06:25,07h 10m,INR 699,38 Seats available,4.0,https://www.redbus.in/bus-tickets/pindwara-to-nokha,Pindwara to Nokha,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),17:30,08:00,14h 30m,INR 1099,40 Seats available,4.0,https://www.redbus.in/bus-tickets/unjha-to-suratgarh,Unjha to Suratgarh,GSRTC
RSRTC - 191942,Express Non AC Seater 2+3,21:30,02:45,05h 15m,INR 273,37 Seats available,3.7,https://www.redbus.in/bus-tickets/palanpur-to-pali-rajasthan,Palanpur to Pali (Rajasthan),GSRTC
Ashok Travels Mandsaur,A/C Seater / Sleeper (2+1),16:50,22:10,05h 20m,INR 600,31 Seats available,3.7,https://www.redbus.in/bus-tickets/palanpur-to-pali-rajasthan,Palanpur to Pali (Rajasthan),GSRTC
CHOUDHARY KING TRAVELS,NON A/C Seater/ Sleeper (2+1),18:30,23:00,04h 30m,INR 800,27 Seats available,3.2,https://www.redbus.in/bus-tickets/palanpur-to-pali-rajasthan,Palanpur to Pali (Rajasthan),GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),18:30,23:15,04h 45m,522,28 Seats available,4.0,https://www.redbus.in/bus-tickets/palanpur-to-pali-rajasthan,Palanpur to Pali (Rajasthan),GSRTC
Jakhar Travels,NON AC Seater / Sleeper 2+1,19:30,00:30,05h 00m,INR 1000,1 Seat available,3.6,https://www.redbus.in/bus-tickets/palanpur-to-pali-rajasthan,Palanpur to Pali (Rajasthan),GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),19:30,10:30,15h 00m,INR 999,40 Seats available,4.0,https://www.redbus.in/bus-tickets/abu-road-to-ganganagar,Abu Road to Ganganagar (Sri Ganganagar),GSRTC
Shrinath® Travel Agency Pvt. Ltd.,AC Sleeper (2+1),23:10,02:40,03h 30m,INR 800,30 Seats available,3.4,https://www.redbus.in/bus-tickets/sirohi-road-rajasthan-to-jodhpur,Sirohi Road (Rajasthan) to Jodhpur,GSRTC
Rytham Tours And Travels,NON A/C Sleeper (2+1),23:15,02:55,03h 40m,699,19 Seats available,2.8,https://www.redbus.in/bus-tickets/sirohi-road-rajasthan-to-jodhpur,Sirohi Road (Rajasthan) to Jodhpur,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),20:10,00:50,04h 40m,INR 349,40 Seats available,4.0,https://www.redbus.in/bus-tickets/sirohi-road-rajasthan-to-jodhpur,Sirohi Road (Rajasthan) to Jodhpur,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),23:02,09:30,10h 28m,INR 699,27 Seats available,4.0,https://www.redbus.in/bus-tickets/pali-to-hanumangarh,Pali (Rajasthan) to Hanumangarh,GSRTC
